node,stress,x,y,z,angle_deg
10578,-1.71392,1700.0,2771.84,205.725,35.999565312229265
10577,-9.01325,1699.9,2759.71,214.541,35.99996912799418
10579,5.9064,1700.1,2783.98,196.908,35.999992259675196
10575,-2.9193,1700.0,2946.84,332.87,71.99935495064142
10576,-13.1239,1700.0,2951.48,318.604,72.00008986055343
10574,7.2853,1700.0,2942.21,347.136,72.00017335966874
10573,-16.8304,1700.0,3158.52,318.605,107.99985728790347
10571,1.07914,1700.0,3167.79,347.135,107.99987514793344
10572,-7.92372,1700.0,3163.16,332.87,108.00064504935858
10568,-0.764539,1699.99,3350.29,214.542,143.9999038763625
10570,1.57391,1700.01,3326.02,196.908,144.0000077403248
10569,0.217539,1700.0,3338.16,205.725,144.00043468777073
7656,-0.756427,1700.0,3420.0,0.0,180.0000784873692
7657,-1.76586,1700.0,3405.0,0.0,180.0000818511136
7658,-2.36748,1700.0,3390.0,0.0,180.00008551608883
10594,1.49946,1699.98,3326.03,-196.897,215.99760328786024
10593,-4.7916,1700.0,3338.16,-205.725,215.9996977494555
10592,-10.3395,1700.02,3350.28,-214.553,216.0025427549777
10590,19.5872,1700.0,3163.16,-332.87,251.99940553888456
10591,6.22057,1700.13,3158.52,-318.604,252.00014271209653
10589,31.6429,1699.87,3167.79,-347.135,252.00017335966874
10586,-2.88847,1699.88,2942.21,-347.135,287.99982664033126
10588,-1.20714,1700.12,2951.48,-318.604,287.99985728790347
10587,-1.92863,1700.0,2946.84,-332.87,288.00059446111544
10583,2.37127,1700.0,2759.71,-214.542,323.9997768811282
10585,-4.11277,1700.0,2783.98,-196.908,323.99986937224827
10584,-0.870749,1700.0,2771.84,-205.725,324.0003022505445
10582,1.16775,1700.0,2720.0,0.0,359.9999144839112
10581,-0.0167165,1700.0,2705.0,0.0,359.9999181488864
10580,-1.00689,1700.0,2690.0,0.0,359.9999215126308
